Category,Verb,Object,Temp,Difficulty,Desc,,,,,,,,
Everyday Actions,Drink,sparkling water,Now,Hard,Who wouldn't want to Drink sparkling water Now?,,,,,,,,
Everyday Actions,Drink,lemonade,Today,Hard,Make it happen: Drink lemonade Today.,,,,,,,,
Everyday Actions,Drink,hot chocolate,Today,Hard,Drink hot chocolate Today. sounds like the perfect idea for Today.,,,,,,,,
Everyday Actions,Drink,a sports drink,Now,Easy,Drink a sports drink Now : sounds like the perfect idea for Today.,,,,,,,,
Everyday Actions,Drink,herbal tea,Today,Hard,Drink herbal tea Today : sounds like the perfect idea for Today.,,,,,,,,
Everyday Actions,Drink,a green juice,Today,Easy,Take the plunge and Drink a green juice Today.,,,,,,,,
Everyday Actions,Drink,kombucha,Now,Easy,Sometimes all you need is to Drink kombucha Now.,,,,,,,,
Everyday Actions,Drink,a mocktail,Now,Easy,Life's short : Drink a mocktail Now sounds perfect.,,,,,,,,
Everyday Actions,Drink,a margarita,Now,Hard,Make it happen: Drink a margarita Now.,,,,,,,,
Everyday Actions,Drink,an espresso,Now,Easy,Take the plunge and Drink an espresso Now.,,,,,,,,
Everyday Actions,Drink,a chai latte,In the Next Hour,Easy,Life's short : Drink a chai latte in the next hour sounds perfect.,,,,,,,,
Creative Activity,Write,a novel,Now,Easy,Why not Write a novel Now? It's a great way to shake things up!,,,,,,,,
Creative Activity,Write,a poem,In the Next Hour,Easy,Who wouldn't want to Write a poem in the next hour?,,,,,,,,
Creative Activity,Write,a song,In the Next Hour,Hard,Write a song in the next hour : sounds like the perfect idea for Today.,,,,,,,,
Creative Activity,Write,a blog post,Now,Easy,"Don't overthink it, just Write a blog post Now!",,,,,,,,
Creative Activity,Write,a letter,In the Next Hour,Easy,Life's short : Write a letter in the next hour sounds perfect.,,,,,,,,
Creative Activity,Write,an apology,In the Next Hour,Easy,Sometimes all you need is to Write an apology in the next hour.,,,,,,,,
Creative Activity,Write,a shopping list,Today,Easy,Write a shopping list Today : sounds like the perfect idea for Today.,,,,,,,,
Creative Activity,Write,a recipe,Now,Easy,Take the plunge and Write a recipe Now.,,,,,,,,
Creative Activity,Write,a scientific paper,In the Next Hour,Easy,Take the plunge and Write a scientific paper in the next hour.,,,,,,,,
Creative Activity,Write,a to-do list,Now,Easy,Why not Write a to-do list Now? It's a great way to shake things up!,,,,,,,,
Creative Activity,Write,a joke,In the Next Hour,Hard,Write a joke in the next hour : sounds like the perfect idea for Today.,,,,,,,,
Creative Activity,Write,a business plan,Today,Hard,Sometimes all you need is to Write a business plan Today.,,,,,,,,
Creative Activity,Write,a short story,Today,Easy,"Don't overthink it, just Write a short story Today!",,,,,,,,
Creative Activity,Write,a postcard,Now,Easy,Write a postcard Now might just be the highlight of your day.,,,,,,,,
Creative Activity,Write,a screenplay,In the Next Hour,Hard,Life's short : Write a screenplay in the next hour sounds perfect.,,,,,,,,
Creative Activity,Write,an essay,Today,Easy,Take the plunge and Write an essay Today.,,,,,,,,
Creative Activity,Write,a resume,In the Next Hour,Hard,Why not Write a resume in the next hour? It's a great way to shake things up!,,,,,,,,
Creative Activity,Write,a diary entry,Now,Easy,Write a diary entry Now : sounds like the perfect idea for Today.,,,,,,,,
Creative Activity,Write,a farewell note,In the Next Hour,Hard,Who wouldn't want to Write a farewell note in the next hour?,,,,,,,,
Creative Activity,Write,a limerick,Today,Hard,Why not Write a limerick Today? It's a great way to shake things up!,,,,,,,,
Creative Activity,Draw,an idea,Today,Easy,"Don't overthink it, just Draw an idea Today!",,,,,,,,
Creative Activity,Paint,an idea,Now,Hard,"Think carefully, or just Paint an idea Now.",,,,,,,,
Creative Activity,Brainstorm,an idea,Now,Hard,"Think carefully, or just Brainstorm an idea Now.",,,,,,,,
Creative Activity,Brainstorm,a challenge,In the Next Hour,Easy,Brainstorm a challenge in the next hour might just be the highlight of your day.,,,,,,,,
Social Interaction,Talk to,something meaningful,In the Next Hour,Hard,Life's short : Talk to something meaningful in the next hour sounds perfect.,,,,,,,,
Social Interaction,Talk to,an idea,In the Next Hour,Hard,Talk to an idea in the next hour might just be the highlight of your day.,,,,,,,,
Social Interaction,Talk to,a challenge,In the Next Hour,Hard,Why not Talk to a challenge in the next hour? It's a great way to shake things up!,,,,,,,,
Social Interaction,Ask to,a friend for advice,In the Next Hour,Easy,Why not Ask to a friend for advice in the next hour? It's a great way to shake things up!,,,,,,,,
Social Interaction,Ask to,your boss for a raise,Now,Easy,Ask to your boss for a raise Now might just be the highlight of your day.,,,,,,,,
Social Interaction,Ask to,a stranger for directions,Now,Hard,Make it happen: Ask to a stranger for directions Now.,,,,,,,,
Social Interaction,Ask to,a neighbor for help,Now,Easy,Sometimes all you need is to Ask to a neighbor for help Now.,,,,,,,,
Social Interaction,Ask to,your teacher for a deadline extension,Today,Easy,Ask to your teacher for a deadline extension Today : sounds like the perfect idea for Today.,,,,,,,,
Social Interaction,Ask to,your parents for permission,In the Next Hour,Easy,Ask to your parents for permission in the next hour might just be the highlight of your day.,,,,,,,,
Social Interaction,Ask to,a colleague for assistance,In the Next Hour,Hard,Ask to a colleague for assistance in the next hour might just be the highlight of your day.,,,,,,,,
Social Interaction,Ask to,your partner for forgiveness,In the Next Hour,Easy,Sometimes all you need is to Ask to your partner for forgiveness in the next hour.,,,,,,,,
Social Interaction,Ask to,a stranger for a selfie,Today,Easy,Make it happen: Ask to a stranger for a selfie Today.,,,,,,,,
Social Interaction,Ask to,a waiter for the bill,Today,Easy,Make it happen: Ask to a waiter for the bill Today.,,,,,,,,
Social Interaction,Ask to,a librarian for a book,Now,Hard,Who wouldn't want to Ask to a librarian for a book Now?,,,,,,,,
Social Interaction,Whisper,something meaningful,Now,Hard,Who wouldn't want to Whisper something meaningful Now?,,,,,,,,
Social Interaction,Whisper,an idea,Now,Easy,Take the plunge and Whisper an idea Now.,,,,,,,,
Social Interaction,Shout,an idea,Today,Hard,Make it happen: Shout an idea Today.,,,,,,,,
Social Interaction,Share,an idea,Today,Easy,Why not Share an idea Today? It's a great way to shake things up!,,,,,,,,
Social Interaction,Share,a challenge,Now,Easy,Who wouldn't want to Share a challenge Now?,,,,,,,,
Nature & Adventure,Explore,a forest,Now,Hard,Life's short : Explore a forest Now sounds perfect.,,,,,,,,
Nature & Adventure,Explore,a museum,Now,Hard,Explore a museum Now might just be the highlight of your day.,,,,,,,,
Nature & Adventure,Explore,a new city,Now,Easy,Life's short : Explore a new city Now sounds perfect.,,,,,,,,
Nature & Adventure,Explore,a library,Now,Easy,Explore a library Now : sounds like the perfect idea for Today.,,,,,,,,
Nature & Adventure,Explore,a hidden path,In the Next Hour,Hard,Make it happen: Explore a hidden path in the next hour.,,,,,,,,
Nature & Adventure,Explore,your backyard,In the Next Hour,Hard,Explore your backyard in the next hour : sounds like the perfect idea for Today.,,,,,,,,
Nature & Adventure,Explore,a new hobby,Today,Hard,Life's short : Explore a new hobby Today sounds perfect.,,,,,,,,
Nature & Adventure,Explore,an old attic,Now,Easy,Make it happen: Explore an old attic Now.,,,,,,,,
Nature & Adventure,Explore,a virtual world,Now,Hard,"Think carefully, or just Explore a virtual world Now.",,,,,,,,
Nature & Adventure,Explore,a park,Today,Easy,Explore a park Today : sounds like the perfect idea for Today.,,,,,,,,
Nature & Adventure,Explore,a marketplace,Now,Easy,Why not Explore a marketplace Now? It's a great way to shake things up!,,,,,,,,
Nature & Adventure,Explore,a cave,In the Next Hour,Easy,Sometimes all you need is to Explore a cave in the next hour.,,,,,,,,
Nature & Adventure,Explore,a hiking trail,In the Next Hour,Easy,Explore a hiking trail in the next hour : sounds like the perfect idea for Today.,,,,,,,,
Nature & Adventure,Explore,an abandoned house,Now,Easy,Sometimes all you need is to Explore an abandoned house Now.,,,,,,,,
Nature & Adventure,Explore,a local attraction,Now,Easy,Life's short : Explore a local attraction Now sounds perfect.,,,,,,,,
Nature & Adventure,Explore,a beach,Today,Hard,Why not Explore a beach Today? It's a great way to shake things up!,,,,,,,,
Nature & Adventure,Explore,a historic site,Now,Easy,Take the plunge and Explore a historic site Now.,,,,,,,,
Nature & Adventure,Explore,a botanical garden,In the Next Hour,Easy,"Think carefully, or just Explore a botanical garden in the next hour.",,,,,,,,
Nature & Adventure,Grow,an idea,Now,Hard,Why not Grow an idea Now? It's a great way to shake things up!,,,,,,,,
Nature & Adventure,Plant,an idea,Now,Hard,Plant an idea Now might just be the highlight of your day.,,,,,,,,
Nature & Adventure,Celebrate,something meaningful,In the Next Hour,Easy,Take the plunge and Celebrate something meaningful in the next hour.,,,,,,,,
Nature & Adventure,Celebrate,an idea,In the Next Hour,Easy,Life's short : Celebrate an idea in the next hour sounds perfect.,,,,,,,,
Nature & Adventure,Discover,something meaningful,Now,Easy,Life's short : Discover something meaningful Now sounds perfect.,,,,,,,,
Nature & Adventure,Discover,an idea,Now,Easy,Who wouldn't want to Discover an idea Now?,,,,,,,,
Nature & Adventure,Discover,a challenge,Today,Easy,Discover a challenge Today might just be the highlight of your day.,,,,,,,,
Everyday Actions,Drink,water,Now,Hard,Make your day more interesting with Drink water Now.,,,,,,,,
Everyday Actions,Drink,coffee,Today,Easy,Take the opportunity to Drink coffee Today.,,,,,,,,
Everyday Actions,Drink,tea,Today,Hard,Try it: Drink tea Today. You might surprise yourself!,,,,,,,,
Everyday Actions,Drink,juice,In the Next Hour,Hard,Make your day more interesting with Drink juice in the next hour.,,,,,,,,
Everyday Actions,Drink,A milkshake,Today,Hard,Drink milkshake Today : a great way to spend your time.,,,,,,,,
Everyday Actions,Eat,a sandwich,Today,Hard,Eat a sandwich Today could brighten your day.,,,,,,,,
Everyday Actions,Eat,pasta,Now,Easy,Think carefully : or just Eat pasta Now!,,,,,,,,
Everyday Actions,Eat,a salad,In the Next Hour,Hard,Try it: Eat a salad in the next hour. You might surprise yourself!,,,,,,,,
Everyday Actions,Eat,a cake,Now,Hard,Why not Eat a cake Now? It sounds doable and fun!,,,,,,,,
Everyday Actions,Eat,an apple,Today,Hard,Try it: Eat an apple Today. You might surprise yourself!,,,,,,,,
Everyday Actions,Walk,to the park,Now,Easy,Walk to the park Now : a great way to spend your time.,,,,,,,,
Everyday Actions,Walk,on the beach,Today,Hard,Don't wait : Walk on the beach Today might just be perfect!,,,,,,,,
Everyday Actions,Walk,around the block,Today,Easy,Take the opportunity to Walk around the block Today.,,,,,,,,
Everyday Actions,Walk,to the store,Today,Hard,Take the opportunity to Walk to the store Today.,,,,,,,,
Everyday Actions,Walk,in the forest,Now,Hard,Make your day more interesting with Walk in the forest Now.,,,,,,,,
Everyday Actions,Sleep,in a bed,Today,Easy,Make your day more interesting with Sleep in a bed Today.,,,,,,,,
Everyday Actions,Sleep,on a couch,In the Next Hour,Easy,Think carefully : or just Sleep on a couch in the next hour!,,,,,,,,
Everyday Actions,Sleep,under the stars,In the Next Hour,Easy,Sleep under the stars in the next hour : a great way to spend your time.,,,,,,,,
Everyday Actions,Sleep,in a hammock,Now,Hard,Don't wait : Sleep in a hammock Now might just be perfect!,,,,,,,,
Creative Activity,Write,a novel,In the Next Hour,Hard,Think carefully : or just Write a novel in the next hour!,,,,,,,,
Creative Activity,Write,a letter,Today,Easy,Don't wait : Write a letter Today might just be perfect!,,,,,,,,
Creative Activity,Write,a recipe,In the Next Hour,Easy,Sometimes the best moments start with Write a recipe in the next hour.,,,,,,,,
Creative Activity,Write,a poem,Now,Hard,Why not Write a poem Now? It sounds doable and fun!,,,,,,,,
Creative Activity,Write,a song,In the Next Hour,Easy,Write a song in the next hour : a great way to spend your time.,,,,,,,,
Creative Activity,Paint,a landscape,Today,Easy,Why not Paint a landscape Today? It sounds doable and fun!,,,,,,,,
Creative Activity,Paint,a portrait,Today,Easy,Sometimes the best moments start with Paint a portrait Today.,,,,,,,,
Creative Activity,Paint,a sunset,Today,Hard,Why not Paint a sunset Today? It sounds doable and fun!,,,,,,,,
Creative Activity,Paint,a wall,Now,Hard,Who wouldn't enjoy Paint a wall Now?,,,,,,,,
Creative Activity,Paint,a door,In the Next Hour,Hard,Don't wait : Paint a door in the next hour might just be perfect!,,,,,,,,
Creative Activity,Draw,a sketch,Today,Easy,Try it: Draw a sketch Today. You might surprise yourself!,,,,,,,,
Creative Activity,Draw,a cartoon,Today,Easy,Who wouldn't enjoy Draw a cartoon Today?,,,,,,,,
Creative Activity,Draw,a blueprint,In the Next Hour,Hard,Draw a blueprint in the next hour : a great way to spend your time.,,,,,,,,
Creative Activity,Draw,a still life,Today,Hard,Think carefully : or just Draw a still life Today!,,,,,,,,
Creative Activity,Draw,a map,In the Next Hour,Easy,Draw a map in the next hour : a great way to spend your time.,,,,,,,,
Social Interaction,Talk to,a friend,In the Next Hour,Easy,Take the opportunity to Talk to a friend in the next hour.,,,,,,,,
Social Interaction,Talk to,a stranger,Now,Easy,Talk to a stranger Now could brighten your day.,,,,,,,,
Social Interaction,Talk to,your neighbor,Today,Easy,Talk to your neighbor Today : a great way to spend your time.,,,,,,,,
Social Interaction,Talk to,your cat,Today,Easy,Talk to your cat Today : a great way to spend your time.,,,,,,,,
Social Interaction,Talk to,a colleague,Now,Hard,Talk to a colleague Now : a great way to spend your time.,,,,,,,,
Social Interaction,Invite,a friend to dinner,Today,Hard,Invite a friend to dinner Today : a great way to spend your time.,,,,,,,,
Social Interaction,Invite,your family to a picnic,Now,Hard,Invite your family to a picnic Now : a great way to spend your time.,,,,,,,,
Social Interaction,Invite,a neighbor to coffee,Today,Hard,Don't wait : Invite a neighbor to coffee Today might just be perfect!,,,,,,,,
Social Interaction,Congratulate,a friend on their promotion,Today,Hard,Who wouldn't enjoy Congratulate a friend on their promotion Today?,,,,,,,,
Social Interaction,Congratulate,a child for a good grade,In the Next Hour,Hard,Think carefully : or just Congratulate a child for a good grade in the next hour!,,,,,,,,
Physical Activity,Run,a marathon,In the Next Hour,Hard,Take the opportunity to Run a marathon in the next hour.,,,,,,,,
Physical Activity,Run,to the store,Now,Hard,Who wouldn't enjoy Run to the store Now?,,,,,,,,
Physical Activity,Run,on a treadmill,Today,Easy,Don't wait : Run on a treadmill Today might just be perfect!,,,,,,,,
Physical Activity,Run,through the park,Now,Easy,Who wouldn't enjoy Run through the park Now?,,,,,,,,
Physical Activity,Jump,over a puddle,Today,Hard,Make your day more interesting with Jump over a puddle Today.,,,,,,,,
Physical Activity,Jump,on a trampoline,Now,Hard,Who wouldn't enjoy Jump on a trampoline Now?,,,,,,,,
Physical Activity,Jump,off a diving board,Now,Hard,Try it: Jump off a diving board Now. You might surprise yourself!,,,,,,,,
Physical Activity,Play,soccer,In the Next Hour,Easy,Don't wait : Play soccer in the next hour might just be perfect!,,,,,,,,
Physical Activity,Play,a board game,Now,Hard,Play a board game Now : a great way to spend your time.,,,,,,,,
Physical Activity,Play,tennis,In the Next Hour,Hard,Sometimes the best moments start with Play tennis in the next hour.,,,,,,,,
Physical Activity,Play,chess,Today,Hard,Don't wait : Play chess Today might just be perfect!,,,,,,,,
Physical Activity,Play,with a frisbee,Now,Hard,Why not Play with a frisbee Now? It sounds doable and fun!,,,,,,,,
Nature & Adventure,Explore,a forest,Now,Hard,Explore a forest Now could brighten your day.,,,,,,,,
Nature & Adventure,Explore,a cave,Today,Hard,Try it: Explore a cave Today. You might surprise yourself!,,,,,,,,
Nature & Adventure,Explore,a museum,In the Next Hour,Hard,Don't wait : Explore a museum in the next hour might just be perfect!,,,,,,,,
Nature & Adventure,Explore,a park,Now,Easy,Think carefully : or just Explore a park Now!,,,,,,,,
Nature & Adventure,Explore,a hiking trail,Today,Easy,Sometimes the best moments start with Explore a hiking trail Today.,,,,,,,,
Nature & Adventure,Plant,a tree,Now,Hard,Make your day more interesting with Plant a tree Now.,,,,,,,,
Nature & Adventure,Plant,a flower,In the Next Hour,Hard,Don't wait : Plant a flower in the next hour might just be perfect!,,,,,,,,
Nature & Adventure,Plant,vegetables,Now,Hard,Think carefully : or just Plant vegetables Now!,,,,,,,,
Nature & Adventure,Plant,herbs,Today,Hard,Plant herbs Today could brighten your day.,,,,,,,,
Nature & Adventure,Plant,a garden,Today,Hard,Why not Plant a garden Today? It sounds doable and fun!,,,,,,,,
Nature & Adventure,Hunt,for treasure,Now,Hard,Sometimes the best moments start with Hunt for treasure Now.,,,,,,,,
Nature & Adventure,Hunt,for berries,Today,Easy,Take the opportunity to Hunt for berries Today.,,,,,,,,
Nature & Adventure,Hunt,for mushrooms,Now,Easy,Think carefully : or just Hunt for mushrooms Now!,,,,,,,,
Nature & Adventure,Hunt,for fossils,In the Next Hour,Easy,Sometimes the best moments start with Hunt for fossils in the next hour.,,,,,,,,
Everyday Actions,Run,a marathon,Today,Hard,Why not Run a marathon Today? It could make your day better.,,,,,,,,
Everyday Actions,Run,to the store,Today,Hard,Make your day meaningful and Run to the store Today.,,,,,,,,
Everyday Actions,Run,on the beach,Now,Hard,Make your day meaningful and Run on the beach Now.,,,,,,,,
Everyday Actions,Run,through the park,Now,Hard,Life's too short not to Run through the park Now.,,,,,,,,
Everyday Actions,Run,a race,In the Next Hour,Easy,Don't overthink : just Run a race in the next hour!,,,,,,,,
Everyday Actions,Run,on a treadmill,Now,Easy,Don't wait : Run on a treadmill Now might just be what you need!,,,,,,,,
Everyday Actions,Run,away from a problem,Now,Easy,Take the chance and Run away from a problem Now.,,,,,,,,
Everyday Actions,Run,to catch a bus,Today,Hard,Sometimes all you need is to Run to catch a bus Today.,,,,,,,,
Everyday Actions,Run,a charity run,In the Next Hour,Easy,Take the chance and Run a charity run in the next hour.,,,,,,,,
Everyday Actions,Run,in the rain,Now,Easy,"Run in the rain Now : sounds interesting, doesn't it?",,,,,,,,
Everyday Actions,Cook,pasta,Now,Easy,Make your day meaningful and Cook pasta Now.,,,,,,,,
Everyday Actions,Cook,a pizza,Today,Hard,Sometimes all you need is to Cook a pizza Today.,,,,,,,,
Everyday Actions,Cook,a cake,Now,Easy,Think about it : Cook a cake Now could be fun!,,,,,,,,
Everyday Actions,Cook,an omelette,In the Next Hour,Easy,Why not Cook an omelette in the next hour? It could make your day better.,,,,,,,,
Everyday Actions,Cook,a soup,In the Next Hour,Easy,Sometimes all you need is to Cook a soup in the next hour.,,,,,,,,
Everyday Actions,Cook,a BBQ,In the Next Hour,Hard,Think about it : Cook a BBQ in the next hour could be fun!,,,,,,,,
Everyday Actions,Cook,a stir-fry,Now,Easy,Sometimes all you need is to Cook a stir-fry Now.,,,,,,,,
Everyday Actions,Cook,a curry,In the Next Hour,Hard,Don't wait : Cook a curry in the next hour might just be what you need!,,,,,,,,
Everyday Actions,Cook,a family dinner,Now,Hard,Life's too short not to Cook a family dinner Now.,,,,,,,,
Everyday Actions,Clean,the kitchen,In the Next Hour,Easy,Who wouldn't want to Clean the kitchen in the next hour?,,,,,,,,
Everyday Actions,Clean,your bedroom,Now,Easy,Don't wait : Clean your bedroom Now might just be what you need!,,,,,,,,
Everyday Actions,Clean,a closet,Today,Hard,Don't overthink : just Clean a closet Today!,,,,,,,,
Everyday Actions,Clean,the car,In the Next Hour,Hard,Don't overthink : just Clean the car in the next hour!,,,,,,,,
Everyday Actions,Clean,a shelf,Now,Easy,Make your day meaningful and Clean a shelf Now.,,,,,,,,
Everyday Actions,Clean,the garage,Today,Easy,Don't overthink : just Clean the garage Today!,,,,,,,,
Everyday Actions,Clean,the windows,Now,Easy,Make your day meaningful and Clean the windows Now.,,,,,,,,
Everyday Actions,Clean,a mirror,Now,Hard,Why not Clean a mirror Now? It could make your day better.,,,,,,,,
Everyday Actions,Shop,a creative idea for Shop,In the Next Hour,Hard,Don't wait : Shop a creative idea for Shop in the next hour might just be what you need!,,,,,,,,
Everyday Actions,Shop,an opportunity to Shop,In the Next Hour,Easy,Life's too short not to Shop an opportunity to Shop in the next hour.,,,,,,,,
Everyday Actions,Shop,a random thought about Shop,Today,Easy,Life's too short not to Shop a random thought about Shop Today.,,,,,,,,
Everyday Actions,Shop,a memorable place to Shop,In the Next Hour,Hard,Why not Shop a memorable place to Shop in the next hour? It could make your day better.,,,,,,,,
Everyday Actions,Drink,water,Now,Hard,Make your day meaningful and Drink water Now.,,,,,,,,
Everyday Actions,Drink,coffee,Today,Hard,Don't wait : Drink coffee Today might just be what you need!,,,,,,,,
Everyday Actions,Drink,tea,In the Next Hour,Easy,Don't wait : Drink tea in the next hour might just be what you need!,,,,,,,,
Everyday Actions,Drink,a smoothie,In the Next Hour,Hard,Don't wait : Drink a smoothie in the next hour might just be what you need!,,,,,,,,
Everyday Actions,Drink,orange juice,In the Next Hour,Easy,Make your day meaningful and Drink orange juice in the next hour.,,,,,,,,
Everyday Actions,Drink,a milkshake,Today,Easy,Why not Drink a milkshake Today? It could make your day better.,,,,,,,,
Everyday Actions,Drink,soda,Now,Hard,Make your day meaningful and Drink soda Now.,,,,,,,,
Everyday Actions,Drink,wine,In the Next Hour,Hard,Don't overthink : just Drink wine in the next hour!,,,,,,,,
Everyday Actions,Drink,a protein shake,In the Next Hour,Easy,Life's too short not to Drink a protein shake in the next hour.,,,,,,,,
Everyday Actions,Sleep,a creative idea for Sleep,Now,Hard,Sometimes all you need is to Sleep a creative idea for Sleep Now.,,,,,,,,
Everyday Actions,Sleep,an opportunity to Sleep,Today,Hard,Life's too short not to Sleep an opportunity to Sleep Today.,,,,,,,,
Everyday Actions,Sleep,a random thought about Sleep,Now,Hard,"Sleep a random thought about Sleep Now : sounds interesting, doesn't it?",,,,,,,,
Everyday Actions,Sleep,a memorable place to Sleep,In the Next Hour,Hard,Think about it : Sleep a memorable place to Sleep in the next hour could be fun!,,,,,,,,
Creative Activity,Sing,a song,In the Next Hour,Hard,Think about it : Sing a song in the next hour could be fun!,,,,,,,,
Creative Activity,Sing,a lullaby,In the Next Hour,Hard,Life's too short not to Sing a lullaby in the next hour.,,,,,,,,
Creative Activity,Sing,a karaoke hit,Today,Easy,Who wouldn't want to Sing a karaoke hit Today?,,,,,,,,
Creative Activity,Sing,the national anthem,Today,Hard,"Sing the national anthem Today : sounds interesting, doesn't it?",,,,,,,,
Creative Activity,Sing,a Christmas carol,In the Next Hour,Hard,"Sing a Christmas carol in the next hour : sounds interesting, doesn't it?",,,,,,,,
Creative Activity,Sing,a nursery rhyme,Today,Easy,Think about it : Sing a nursery rhyme Today could be fun!,,,,,,,,
Creative Activity,Write,a novel,Today,Easy,Life's too short not to Write a novel Today.,,,,,,,,
Creative Activity,Write,a shopping list,Now,Easy,Take the chance and Write a shopping list Now.,,,,,,,,
Creative Activity,Write,a thank-you note,Now,Hard,Don't overthink : just Write a thank-you note Now!,,,,,,,,
Creative Activity,Write,a poem,Now,Hard,Make your day meaningful and Write a poem Now.,,,,,,,,
Creative Activity,Write,a letter,In the Next Hour,Easy,Don't wait : Write a letter in the next hour might just be what you need!,,,,,,,,
Creative Activity,Write,a recipe,Today,Hard,Think about it : Write a recipe Today could be fun!,,,,,,,,
Creative Activity,Write,a blog post,Today,Hard,Why not Write a blog post Today? It could make your day better.,,,,,,,,
Creative Activity,Write,an apology,In the Next Hour,Hard,Sometimes all you need is to Write an apology in the next hour.,,,,,,,,
Creative Activity,Write,a postcard,Today,Easy,Sometimes all you need is to Write a postcard Today.,,,,,,,,
Creative Activity,Write,a song,Today,Easy,Make your day meaningful and Write a song Today.,,,,,,,,
Creative Activity,Paint,a portrait,Today,Hard,Take the chance and Paint a portrait Today.,,,,,,,,
Creative Activity,Paint,a sunset,Today,Easy,Don't overthink : just Paint a sunset Today!,,,,,,,,
Creative Activity,Paint,a wall,In the Next Hour,Easy,Think about it : Paint a wall in the next hour could be fun!,,,,,,,,
Creative Activity,Paint,a canvas,Now,Easy,"Paint a canvas Now : sounds interesting, doesn't it?",,,,,,,,
Creative Activity,Paint,a flower,Now,Hard,Make your day meaningful and Paint a flower Now.,,,,,,,,
Creative Activity,Paint,a landscape,In the Next Hour,Hard,Don't overthink : just Paint a landscape in the next hour!,,,,,,,,
Creative Activity,Paint,a still life,Today,Easy,Don't overthink : just Paint a still life Today!,,,,,,,,
Creative Activity,Paint,a door,Today,Easy,Sometimes all you need is to Paint a door Today.,,,,,,,,
Creative Activity,Build,a bookshelf,Today,Easy,Who wouldn't want to Build a bookshelf Today?,,,,,,,,
Creative Activity,Build,a sandcastle,Now,Hard,Sometimes all you need is to Build a sandcastle Now.,,,,,,,,
Creative Activity,Build,a model airplane,Today,Easy,Think about it : Build a model airplane Today could be fun!,,,,,,,,
Creative Activity,Build,a Lego set,Now,Easy,Make your day meaningful and Build a Lego set Now.,,,,,,,,
Creative Activity,Build,a birdhouse,Now,Hard,Life's too short not to Build a birdhouse Now.,,,,,,,,
Creative Activity,Build,a robot,Now,Hard,"Build a robot Now : sounds interesting, doesn't it?",,,,,,,,
